,Status ID,Customer ID,Count_x,Quarter_x,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Service ID,Count_y,Quarter_y,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
10,UMEKHN2443,0094-OIFMO,1,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,XIOWKBRNN4393,1,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,Female,78,No,Yes,No,Yes,1
11,YIPBAY5152,9947-OTFQU,1,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,XOEPPWMTO9182,1,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95,1,Male,65,No,Yes,No,No,0
12,YZFWSV3242,9514-JDSKI,1,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,UGUIMLXCU8431,1,Q3,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,1,Male,77,No,Yes,Yes,No,0
13,MDETXO4922,7273-TEFQD,1,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges,NBOGLPTZV7277,1,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,1,Male,67,No,Yes,No,No,0
14,BEGOJN9758,3606-TWKGI,1,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,YOBKZFGVQ5899,1,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,Male,68,No,Yes,No,No,0
15,JLJPDE1341,4385-GZQXV,1,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,VHJDHJCGG5893,1,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,Female,68,No,Yes,No,No,0
16,OHPSLR4475,3488-PGMQJ,1,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,HXMLQEOHF5921,1,Q3,No,0,8,,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,1,Male,66,No,Yes,No,No,0
17,GQOQWC2393,7534-BFESC,1,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,WWYEWXVSH6917,1,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,1,Male,69,No,Yes,No,No,0
18,OFKDMH9951,8098-LLAZX,1,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,OSQCMMHHH1332,1,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,1,Female,74,No,Yes,No,No,0
19,GHCFVK8885,0265-EDXBD,1,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,FZQAVWHSH9565,1,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,1,Male,76,No,Yes,Yes,No,0
20,DSIMCQ4621,2840-XANRC,1,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,PLOCHMGQJ6697,1,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.45,1,Male,77,No,Yes,Yes,No,0
21,DHXVBL4276,5020-ZSTTY,1,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,XNJUYZUTW5958,1,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,Female,70,No,Yes,No,No,0
22,ZIEQWD5744,5804-LEPIM,1,Q3,3,Churned,Yes,1,73,2671,Other,Don't know,ATPTIBSWE9432,1,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,1,Female,74,No,Yes,No,No,0
23,GQQMMS7744,0623-IIHUG,1,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,WIKKPUBDD5531,1,Q3,No,0,21,,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,Female,77,No,Yes,No,No,0
24,GUGTBO6929,9057-MSWCO,1,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,TKRBOHAOA4185,1,Q3,No,0,27,,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,Male,71,No,Yes,Yes,No,0
25,OEYWPL2828,4895-TMWIR,1,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,OGTGVNIAI7862,1,Q3,Yes,1,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,Male,79,No,Yes,Yes,No,0
26,NMPICW5172,0533-BNWKF,1,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,CEAETMXKC1258,1,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.8,1,Female,66,No,Yes,Yes,No,0
27,LCTGJR7639,0334-GDDSO,1,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,HXAWDMKNC7727,1,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,1,Male,77,No,Yes,No,No,0
28,EFSJFW2561,5564-NEMQO,1,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability,RHOKWKGPI1159,1,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,1,Female,80,No,Yes,No,No,0
29,UNLRRA7673,6235-VDHOM,1,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services,HWTSHHROX7538,1,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,1,Female,77,No,Yes,No,No,0
30,WQCCWE6768,5609-CEBID,1,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices,PAOHKXQGG8796,1,Q3,No,0,20,,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,1,Female,77,No,Yes,No,No,0
31,QTRLCS8221,5956-VKDTT,1,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,IAGYVDOMQ4746,1,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,Female,72,No,Yes,Yes,No,0
32,LGNAAI6835,0257-ZESQC,1,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person,BKPCFHKQJ2592,1,Q3,Yes,2,27,,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,Female,80,No,Yes,Yes,No,0
33,QVCKEA1534,2865-TCHJW,1,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices,PYCXBVFEW4691,1,Q3,No,0,4,,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,Female,74,No,Yes,No,No,0
34,RINVCK3782,5192-EBGOV,1,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices,URLOXFYPV4252,1,Q3,No,0,1,,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,Female,68,No,Yes,No,No,0
35,WZSVYG6552,3419-SNJJD,1,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person,LTNYKEMKS4853,1,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,Female,78,No,Yes,Yes,No,0
36,KZZHRZ2348,4554-YGZIH,1,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer,ILBWOZEYA6786,1,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.08,5670.33,1,Male,75,No,Yes,Yes,No,0
37,CVUUUK5972,5099-BAILX,1,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer,JTARJQLPF4989,1,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26,1,Male,77,No,Yes,Yes,No,0
38,IYFTSS3523,4913-EHYUI,1,Q3,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,CGZXKNJTP7197,1,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.45,1,Male,80,No,Yes,Yes,No,0
39,YHCEYV9468,1626-ERCMM,1,Q3,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices,RHEBGFFVR4517,1,Q3,Yes,7,20,,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,Male,75,No,Yes,Yes,No,0
40,BALQIW2979,5644-PDMZC,1,Q3,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person,NOEPUJTIG3795,1,Q3,No,0,2,,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,1,Female,69,No,Yes,No,No,0
41,GOFNCE2167,4160-AMJTL,1,Q3,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person,NGGLWVAEL7229,1,Q3,No,0,8,,Yes,27.95,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,1,Female,74,No,Yes,No,No,0
42,YHDSJE8591,0823-HSCDJ,1,Q3,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer,SVCSCKAFM9875,1,Q3,No,0,52,,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,1,Male,76,No,Yes,No,No,0
43,PFDTBW9847,0067-DKWBL,1,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer,PVFXVSVGO9463,1,Q3,No,0,2,,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,1,Male,69,No,Yes,No,No,0
44,RZBCFN3616,5244-IRFIH,1,Q3,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support,LWGDPAKFW2516,1,Q3,Yes,1,33,,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,1,Male,72,No,Yes,Yes,No,0
45,RISQKQ8866,2684-EIWEO,1,Q3,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer,DALFULBZT8863,1,Q3,No,0,30,,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,Female,69,No,Yes,No,No,0
46,YOEBSY6292,6683-VLCTZ,1,Q3,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer,DACKMGISE2794,1,Q3,No,0,20,,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,1,Male,73,No,Yes,No,No,0
47,TEYSZL2724,0691-IFBQW,1,Q3,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer,YNAKWSEIW1482,1,Q3,No,0,46,,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.82,1,Female,65,No,Yes,No,No,0
48,VEMTOD4929,3643-AHCFP,1,Q3,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer,TJIJNJILG6631,1,Q3,Yes,1,7,,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,1,Male,74,No,Yes,Yes,No,0
49,FRTVGQ8355,9231-ZJYAM,1,Q3,3,Churned,Yes,1,72,5301,Other,Moved,LLOAXAHDO7297,1,Q3,No,0,4,,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,1,Female,65,No,Yes,No,No,0
50,WDOXMV5263,0727-BMPLR,1,Q3,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds,SRGHHHNTP9554,1,Q3,No,0,55,,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.2,1,Female,66,No,Yes,No,No,0
51,DNYEON2965,0947-MUGVO,1,Q3,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices,EYMYXVDAB2137,1,Q3,Yes,1,20,,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,1,Male,71,No,Yes,Yes,No,0
52,NYCEPY5895,0781-LKXBR,1,Q3,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices,SKYDFEVGE7257,1,Q3,No,0,9,,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,1,Male,65,No,Yes,No,No,0
53,ENIKXQ1144,1907-UBQFC,1,Q3,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices,FNGSMBSXV8364,1,Q3,No,0,10,,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,1,Male,69,No,Yes,No,No,0
54,OWORLL9111,6513-EECDB,1,Q3,2,Churned,Yes,1,94,4369,Price,Price too high,MGJOLSNWY5463,1,Q3,No,0,1,,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,1,Male,75,No,Yes,Yes,No,0
55,VXIZTE7781,7074-IEVOJ,1,Q3,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction,ULDFYXUKU5875,1,Q3,No,0,3,,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,1,Female,75,No,Yes,No,No,0
56,KPGJZI4687,4750-ZRXIU,1,Q3,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices,LITKJJTIK7287,1,Q3,No,0,4,,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.82,1,Female,68,No,Yes,No,No,0
57,OQKZSJ6985,7028-DVOIQ,1,Q3,1,Churned,Yes,1,82,2074,Other,Don't know,GKZLLSJOP7797,1,Q3,No,0,35,,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1,Male,71,No,Yes,No,No,0
58,HTNXWR4877,4208-UFFGW,1,Q3,2,Churned,Yes,1,84,5900,Other,Don't know,NLPAKHZZW4516,1,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39,1,Male,80,No,Yes,No,No,0
59,KUZXVM7215,9889-TMAHG,1,Q3,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices,DVJQFCKSM9833,1,Q3,No,0,8,,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.91,1,Male,66,No,Yes,No,No,0
60,EURKQW6915,8919-FYFQZ,1,Q3,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices,MSVUAWRLL2128,1,Q3,Yes,2,44,,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1,Male,73,No,Yes,Yes,No,0
61,UMRZPL6948,6646-QVXLR,1,Q3,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices,NDGVORVDT1311,1,Q3,Yes,1,62,,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1,Male,77,No,Yes,Yes,No,0
62,JUZQQS8256,9369-XFEHK,1,Q3,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data,EFAQADKXQ9325,1,Q3,Yes,1,33,,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,1,Female,76,No,Yes,Yes,No,0
63,EWESLU9293,1374-DMZUI,1,Q3,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer,KZCOXOKJA8658,1,Q3,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,1,Female,65,No,Yes,No,No,0
64,GHJKRV8367,1989-PRJHP,1,Q3,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices,QKTMJAYQY1538,1,Q3,Yes,1,27,,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,1,Male,75,No,Yes,Yes,No,0
65,SCUUPF2469,4822-RVYBB,1,Q3,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person,YTHQXKZZM4399,1,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,Male,75,No,Yes,No,No,0
66,LBBSYW6157,4184-TJFAN,1,Q3,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person,VBMDKWPQK7963,1,Q3,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,1,Female,68,No,Yes,Yes,No,0
67,NRWHER1784,4145-UQXUQ,1,Q3,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices,FSYKYPKPI8798,1,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,Female,71,No,Yes,No,No,0
